1;PRODUTO 1;UN;2;2;2
2;PRODUTO 2;UN;2;2;2
3;PRODUTO 3;UN;2;2;2
4;PRODUTO 4;UN;2;2;2
5;PRODUTO 5;UN;2;2;2
6;PRODUTO 6;UN;2;2;2
7;PRODUTO 7;UN;2;2;2
8;PRODUTO 8;UN;2;2;2
9;PRODUTO 9;UN;2;2;2
10;PRODUTO 10;UN;2;2;2
11;PRODUTO 11;UN;2;2;2
12;PRODUTO 12;UN;2;2;2
13;PRODUTO 13;UN;2;2;2
14;PRODUTO 14;UN;2;2;2
15;PRODUTO 15;UN;2;2;2
16;PRODUTO 16;UN;2;2;2
17;PRODUTO 17;UN;2;2;2
18;PRODUTO 18;UN;2;2;2
19;PRODUTO 19;UN;2;2;2
20;PRODUTO 20;UN;2;2;2
21;PRODUTO 21;UN;2;2;2
22;PRODUTO 22;UN;2;2;2
23;PRODUTO 23;UN;2;2;2
24;PRODUTO 24;UN;2;2;2
25;PRODUTO 25;UN;2;2;2
26;PRODUTO 26;UN;2;2;2
27;PRODUTO 27;UN;2;2;2
28;PRODUTO 28;UN;2;2;2
29;PRODUTO 29;UN;2;2;2
30;PRODUTO 30;UN;2;2;2
31;PRODUTO 31;UN;2;2;2
32;PRODUTO 32;UN;2;2;2
33;PRODUTO 33;UN;2;2;2
34;PRODUTO 34;UN;2;2;2
35;PRODUTO 35;UN;2;2;2
36;PRODUTO 36;UN;2;2;2
37;PRODUTO 37;UN;2;2;2
38;PRODUTO 38;UN;2;2;2
39;PRODUTO 39;UN;2;2;2
40;PRODUTO 40;UN;2;2;2
41;PRODUTO 41;UN;2;2;2
42;PRODUTO 42;UN;2;2;2
43;PRODUTO 43;UN;2;2;2
44;PRODUTO 44;UN;2;2;2
45;PRODUTO 45;UN;2;2;2
46;PRODUTO 46;UN;2;2;2
47;PRODUTO 47;UN;2;2;2
48;PRODUTO 48;UN;2;2;2
49;PRODUTO 49;UN;2;2;2
50;PRODUTO 50;UN;2;2;2
51;PRODUTO 51;UN;2;2;2
52;PRODUTO 52;UN;2;2;2
53;PRODUTO 53;UN;2;2;2
54;PRODUTO 54;UN;2;2;2
55;PRODUTO 55;UN;2;2;2
56;PRODUTO 56;UN;2;2;2
57;PRODUTO 57;UN;2;2;2
58;PRODUTO 58;UN;2;2;2
59;PRODUTO 59;UN;2;2;2
60;PRODUTO 60;UN;2;2;2
61;PRODUTO 61;UN;2;2;2
62;PRODUTO 62;UN;2;2;2
63;PRODUTO 63;UN;2;2;2
64;PRODUTO 64;UN;2;2;2
65;PRODUTO 65;UN;2;2;2
66;PRODUTO 66;UN;2;2;2
67;PRODUTO 67;UN;2;2;2
68;PRODUTO 68;UN;2;2;2
69;PRODUTO 69;UN;2;2;2
70;PRODUTO 70;UN;2;2;2
71;PRODUTO 71;UN;2;2;2
72;PRODUTO 72;UN;2;2;2
73;PRODUTO 73;UN;2;2;2
74;PRODUTO 74;UN;2;2;2
75;PRODUTO 75;UN;2;2;2
76;PRODUTO 76;UN;2;2;2
77;PRODUTO 77;UN;2;2;2
78;PRODUTO 78;UN;2;2;2
79;PRODUTO 79;UN;2;2;2
80;PRODUTO 80;UN;2;2;2
81;PRODUTO 81;UN;2;2;2
82;PRODUTO 82;UN;2;2;2
83;PRODUTO 83;UN;2;2;2
84;PRODUTO 84;UN;2;2;2
85;PRODUTO 85;UN;2;2;2
86;PRODUTO 86;UN;2;2;2
87;PRODUTO 87;UN;2;2;2
88;PRODUTO 88;UN;2;2;2
89;PRODUTO 89;UN;2;2;2
90;PRODUTO 90;UN;2;2;2
91;PRODUTO 91;UN;2;2;2
92;PRODUTO 92;UN;2;2;2
93;PRODUTO 93;UN;2;2;2
94;PRODUTO 94;UN;2;2;2
95;PRODUTO 95;UN;2;2;2
96;PRODUTO 96;UN;2;2;2
97;PRODUTO 97;UN;2;2;2
98;PRODUTO 98;UN;2;2;2
99;PRODUTO 99;UN;2;2;2
100;PRODUTO 100;UN;2;2;2
101;PRODUTO 101;UN;2;2;2
102;PRODUTO 102;UN;2;2;2
103;PRODUTO 103;UN;2;2;2
104;PRODUTO 104;UN;2;2;2
105;PRODUTO 105;UN;2;2;2
106;PRODUTO 106;UN;2;2;2
107;PRODUTO 107;UN;2;2;2
108;PRODUTO 108;UN;2;2;2
109;PRODUTO 109;UN;2;2;2
110;PRODUTO 110;UN;2;2;2
111;PRODUTO 111;UN;2;2;2
112;PRODUTO 112;UN;2;2;2
113;PRODUTO 113;UN;2;2;2
114;PRODUTO 114;UN;2;2;2
115;PRODUTO 115;UN;2;2;2
116;PRODUTO 116;UN;2;2;2
117;PRODUTO 117;UN;2;2;2
118;PRODUTO 118;UN;2;2;2
119;PRODUTO 119;UN;2;2;2
120;PRODUTO 120;UN;2;2;2
121;PRODUTO 121;UN;2;2;2
122;PRODUTO 122;UN;2;2;2
123;PRODUTO 123;UN;2;2;2
124;PRODUTO 124;UN;2;2;2
125;PRODUTO 125;UN;2;2;2
126;PRODUTO 126;UN;2;2;2
127;PRODUTO 127;UN;2;2;2
128;PRODUTO 128;UN;2;2;2
129;PRODUTO 129;UN;2;2;2
130;PRODUTO 130;UN;2;2;2
131;PRODUTO 131;UN;2;2;2
132;PRODUTO 132;UN;2;2;2
133;PRODUTO 133;UN;2;2;2
134;PRODUTO 134;UN;2;2;2
135;PRODUTO 135;UN;2;2;2
136;PRODUTO 136;UN;2;2;2
137;PRODUTO 137;UN;2;2;2
138;PRODUTO 138;UN;2;2;2
139;PRODUTO 139;UN;2;2;2
